,1. open,2. high,3. low,4. close,5. volume,day,day_of_month,month
2020-11-10,0.505,0.505,0.505,0.505,0,2,10,11
2020-11-09,0.505,0.505,0.505,0.505,0,1,9,11
2020-11-06,0.505,0.505,0.505,0.505,0,5,6,11
2020-11-05,0.505,0.505,0.505,0.505,0,4,5,11
2020-11-04,0.505,0.505,0.505,0.505,0,3,4,11
2020-11-03,0.505,0.505,0.505,0.505,0,2,3,11
2020-11-02,0.505,0.505,0.505,0.505,0,1,2,11
2020-10-30,0.505,0.505,0.505,0.505,0,5,30,10
2020-10-29,0.505,0.505,0.505,0.505,0,4,29,10
2020-10-28,0.505,0.505,0.505,0.505,0,3,28,10
2020-10-27,0.505,0.505,0.505,0.505,0,2,27,10
2020-10-26,0.505,0.505,0.505,0.505,0,1,26,10
2020-10-23,0.505,0.505,0.505,0.505,0,5,23,10
2020-10-22,0.505,0.505,0.505,0.505,0,4,22,10
2020-10-21,0.505,0.505,0.505,0.505,0,3,21,10
2020-10-20,0.505,0.505,0.505,0.505,0,2,20,10
2020-10-19,0.505,0.505,0.505,0.505,0,1,19,10
2020-10-16,0.505,0.505,0.505,0.505,0,5,16,10
2020-10-15,0.505,0.505,0.505,0.505,0,4,15,10
2020-10-14,0.505,0.505,0.505,0.505,0,3,14,10
2020-10-13,0.505,0.505,0.505,0.505,3000,2,13,10
2020-10-12,0.5,0.5,0.5,0.5,0,1,12,10
2020-10-09,0.5,0.5,0.5,0.5,5000,5,9,10
2020-10-08,0.485,0.485,0.485,0.485,0,4,8,10
2020-10-07,0.485,0.485,0.485,0.485,4000,3,7,10
2020-10-06,0.47,0.47,0.47,0.47,0,2,6,10
2020-10-05,0.47,0.47,0.47,0.47,0,1,5,10
2020-10-02,0.47,0.47,0.47,0.47,0,5,2,10
2020-10-01,0.47,0.47,0.47,0.47,0,4,1,10
2020-09-30,0.47,0.47,0.47,0.47,0,3,30,9
2020-09-29,0.47,0.47,0.47,0.47,0,2,29,9
2020-09-28,0.47,0.47,0.47,0.47,0,1,28,9
2020-09-25,0.47,0.47,0.47,0.47,10000,5,25,9
2020-09-24,0.5,0.5,0.5,0.5,0,4,24,9
2020-09-23,0.5,0.5,0.5,0.5,0,3,23,9
2020-09-22,0.5,0.5,0.5,0.5,0,2,22,9
2020-09-21,0.5,0.5,0.5,0.5,0,1,21,9
2020-09-18,0.5,0.5,0.5,0.5,0,5,18,9
2020-09-17,0.5,0.5,0.5,0.5,3001,4,17,9
2020-09-16,0.493,0.493,0.493,0.493,8000,3,16,9
2020-09-15,0.5081,0.5081,0.5081,0.5081,0,2,15,9
2020-09-14,0.5081,0.5081,0.5081,0.5081,0,1,14,9
2020-09-11,0.5081,0.5081,0.5081,0.5081,0,5,11,9
2020-09-10,0.5081,0.5081,0.5081,0.5081,0,4,10,9
2020-09-09,0.5081,0.5081,0.5081,0.5081,0,3,9,9
2020-09-08,0.5081,0.5081,0.5081,0.5081,0,2,8,9
2020-09-04,0.5081,0.5081,0.5081,0.5081,0,5,4,9
2020-09-03,0.5081,0.5081,0.5081,0.5081,0,4,3,9
2020-09-02,0.5081,0.5081,0.5081,0.5081,0,3,2,9
2020-09-01,0.5081,0.5081,0.5081,0.5081,0,2,1,9
