,1. open,2. high,3. low,4. close,5. volume
2021-01-11,0.5350,0.5350,0.5350,0.5350,0
2021-01-08,0.5350,0.5350,0.5350,0.5350,0
2021-01-07,0.5350,0.5350,0.5350,0.5350,0
2021-01-06,0.5350,0.5350,0.5350,0.5350,0
2021-01-05,0.5350,0.5350,0.5350,0.5350,366
2021-01-04,0.5248,0.5248,0.5248,0.5248,0
2020-12-31,0.5248,0.5248,0.5248,0.5248,0
2020-12-30,0.5248,0.5248,0.5248,0.5248,0
2020-12-29,0.5248,0.5248,0.5248,0.5248,0
2020-12-28,0.5248,0.5248,0.5248,0.5248,0
2020-12-24,0.5248,0.5248,0.5248,0.5248,0
2020-12-23,0.5248,0.5248,0.5248,0.5248,0
2020-12-22,0.5248,0.5248,0.5248,0.5248,0
2020-12-21,0.5248,0.5248,0.5248,0.5248,5000
2020-12-18,0.5140,0.5140,0.5140,0.5140,0
2020-12-17,0.5140,0.5140,0.5140,0.5140,0
2020-12-16,0.5140,0.5140,0.5140,0.5140,0
2020-12-15,0.5140,0.5140,0.5140,0.5140,0
2020-12-14,0.5140,0.5140,0.5140,0.5140,0
2020-12-11,0.5222,0.5222,0.5140,0.5140,3000
2020-12-10,0.5119,0.5119,0.5119,0.5119,0
2020-12-09,0.5119,0.5119,0.5119,0.5119,0
2020-12-08,0.5119,0.5119,0.5119,0.5119,0
2020-12-07,0.5119,0.5119,0.5119,0.5119,0
2020-12-04,0.5119,0.5119,0.5119,0.5119,0
2020-12-03,0.5119,0.5119,0.5119,0.5119,16000
2020-12-02,0.5400,0.5400,0.5400,0.5400,0
2020-12-01,0.5400,0.5400,0.5400,0.5400,0
2020-11-30,0.5400,0.5400,0.5400,0.5400,0
2020-11-27,0.5400,0.5400,0.5400,0.5400,0
2020-11-25,0.5400,0.5400,0.5400,0.5400,0
2020-11-24,0.5400,0.5400,0.5400,0.5400,0
2020-11-23,0.5400,0.5400,0.5400,0.5400,0
2020-11-20,0.5400,0.5400,0.5400,0.5400,3000
2020-11-19,0.5050,0.5050,0.5050,0.5050,0
2020-11-18,0.5050,0.5050,0.5050,0.5050,0
2020-11-17,0.5050,0.5050,0.5050,0.5050,0
2020-11-16,0.5050,0.5050,0.5050,0.5050,0
2020-11-13,0.5050,0.5050,0.5050,0.5050,0
2020-11-12,0.5050,0.5050,0.5050,0.5050,0
2020-11-11,0.5050,0.5050,0.5050,0.5050,0
2020-11-10,0.5050,0.5050,0.5050,0.5050,0
2020-11-09,0.5050,0.5050,0.5050,0.5050,0
2020-11-06,0.5050,0.5050,0.5050,0.5050,0
2020-11-05,0.5050,0.5050,0.5050,0.5050,0
2020-11-04,0.5050,0.5050,0.5050,0.5050,0
2020-11-03,0.5050,0.5050,0.5050,0.5050,0
